INFO  - 2014-06-29 20:33:21.705; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83637 (1472304724527022080)]} 0 0
INFO  - 2014-06-29 20:33:21.707; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83640 (1472304724529119232)]} 0 0
INFO  - 2014-06-29 20:33:21.709; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83640 (1472304724531216384)]} 0 0
INFO  - 2014-06-29 20:33:21.711; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83641 (1472304724533313536)]} 0 0
INFO  - 2014-06-29 20:33:21.714; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83650 (1472304724535410688)]} 0 1
INFO  - 2014-06-29 20:33:21.716; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83650 (1472304724537507840)]} 0 1
INFO  - 2014-06-29 20:33:21.717; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83651 (1472304724539604992)]} 0 0
INFO  - 2014-06-29 20:33:21.720; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83681 (1472304724542750720)]} 0 0
INFO  - 2014-06-29 20:33:21.722; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83681 (1472304724543799296)]} 0 1
INFO  - 2014-06-29 20:33:21.724; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83682 (1472304724545896448)]} 0 1
INFO  - 2014-06-29 20:33:21.726; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83683 (1472304724549042176)]} 0 0
INFO  - 2014-06-29 20:33:21.728; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83683 (1472304724551139328)]} 0 0
INFO  - 2014-06-29 20:33:21.730; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83684 (1472304724553236480)]} 0 0
INFO  - 2014-06-29 20:33:21.732; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83687 (1472304724555333632)]} 0 0
INFO  - 2014-06-29 20:33:21.734; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83687 (1472304724557430784)]} 0 0
INFO  - 2014-06-29 20:33:21.736; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83688 (1472304724559527936)]} 0 0
INFO  - 2014-06-29 20:33:21.739; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83689 (1472304724561625088)]} 0 1
INFO  - 2014-06-29 20:33:21.741; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83689 (1472304724563722240)]} 0 1
INFO  - 2014-06-29 20:33:21.742; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83690 (1472304724565819392)]} 0 0
INFO  - 2014-06-29 20:33:21.745; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83691 (1472304724568965120)]} 0 0
INFO  - 2014-06-29 20:33:21.747; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83691 (1472304724571062272)]} 0 1
